Food,FOODON ID,Preferred Name,FoodEx_IRI,foodex_embed_avail
Halloumi,http://purl.obolibrary.org/obo/FOODON_03542754,halloumi (efsa foodex2),A065R,True
Ham,http://purl.obolibrary.org/obo/FOODON_03542125,cooked pork ham (efsa foodex2),A023K,True
Haricot bean,http://purl.obolibrary.org/obo/FOODON_03541077,navy beans (dry seeds) (efsa foodex2),A012X,True
Hering roe,http://purl.obolibrary.org/obo/FOODON_03542474,herring roe (efsa foodex2),A02ES,True
Honey,http://purl.obolibrary.org/obo/FOODON_03543011,honey (efsa foodex2),A033J,True
Hummus,http://purl.obolibrary.org/obo/FOODON_03543899,hummus (efsa foodex2),A03VN,True
Icing sugar,http://purl.obolibrary.org/obo/FOODON_03542993,"sugar, icing - powder (efsa foodex2)",A032R,True
Jackfruit,http://purl.obolibrary.org/obo/FOODON_03541780,jackfruits (efsa foodex2),A01LR,True
Jasmine rice,http://purl.obolibrary.org/obo/FOODON_03540040,"rice grain, long-grain (efsa foodex2)",A001F,True
Jerusalem artichoke,http://purl.obolibrary.org/obo/FOODON_03540722,jerusalem artichokes (efsa foodex2),A00QQ,True
Kabana,http://purl.obolibrary.org/obo/FOODON_03542164,snack sausages (like cabanos and landjäger) (efsa foodex2),A025E,True
Kabsa,http://purl.obolibrary.org/obo/FOODON_03544060,seasoning mixes (efsa foodex2),A042Y,True
Kalabasu,http://purl.obolibrary.org/obo/FOODON_03542228,labeo calbasu (efsa foodex2),A0F8E,True
Kale,http://purl.obolibrary.org/obo/FOODON_03540489,kales and similar- (efsa foodex2),A00GL,True
Katla,http://purl.obolibrary.org/obo/FOODON_03542230,catla (efsa foodex2),A0F8F,True
Kidney bean,http://purl.obolibrary.org/obo/FOODON_03541030,kidney bean (fresh seeds) (efsa foodex2),A0BAL,True
Lager,http://purl.obolibrary.org/obo/FOODON_03543333,lager beer (efsa foodex2),A03MC,True
Lamb,http://purl.obolibrary.org/obo/FOODON_03541930,lamb fresh meat (efsa foodex2),A01RK,True
Lancashire,http://purl.obolibrary.org/obo/FOODON_03542826,"cheese, lancashire (efsa foodex2)",A02VJ,True
Laverbread,http://purl.obolibrary.org/obo/FOODON_03540766,laver (efsa foodex2),A00VH,True
Leek,http://purl.obolibrary.org/obo/FOODON_03540555,leeks (efsa foodex2),A00SB,True
Lemongrass,http://purl.obolibrary.org/obo/FOODON_03540911,lemongrass (efsa foodex2),A00XR,True
Lentil,http://purl.obolibrary.org/obo/FOODON_03541092,lentils (dry) (efsa foodex2),A013Q,True
Lettuce,http://purl.obolibrary.org/obo/FOODON_03540365,lettuces (generic) (efsa foodex2),A00KX,True
Lime leaves,http://purl.obolibrary.org/obo/FOODON_03540903,kaffir lime leaves (efsa foodex2),A00XN,True
Ling,http://purl.obolibrary.org/obo/FOODON_03542352,ling (efsa foodex2),A02CC,True
Long-grain rice,http://purl.obolibrary.org/obo/FOODON_03540040,"rice grain, long-grain (efsa foodex2)",A001F,True
Mackerel,http://purl.obolibrary.org/obo/FOODON_03542449,mackerel (efsa foodex2),A02CT,True
Maple syrup,http://purl.obolibrary.org/obo/FOODON_03544310,maple flavour (efsa foodex2),A06QP,True
Margarine,http://purl.obolibrary.org/obo/FOODON_03543150,traditional margarine (efsa foodex2),A039D,True
Mascarpone,http://purl.obolibrary.org/obo/FOODON_03542734,mascarpone (efsa foodex2),A02QH,True
Matoki,http://purl.obolibrary.org/obo/FOODON_03541737,common banana - acuminata cultivars (efsa foodex2),A0DQM,True
Mayonnaise,http://purl.obolibrary.org/obo/FOODON_03544093,mayonnaise sauce (efsa foodex2),A044X,True
Meatball,http://purl.obolibrary.org/obo/FOODON_03543858,meat balls (efsa foodex2),A03XG,True
Milk,http://purl.obolibrary.org/obo/FOODON_03542651,milk (efsa foodex2),A02LT,True
Mixed fruit,http://purl.obolibrary.org/obo/FOODON_03541856,"candied fruit, mixed fruit (efsa foodex2)",A01QB,True
Mixed herbs,http://purl.obolibrary.org/obo/FOODON_03544061,mixed herbs and spices (efsa foodex2),A042Z,True
Monkfish,http://purl.obolibrary.org/obo/FOODON_03542396,"anglerfish, monkfish and stargazers (efsa foodex2)",A02BJ,True
Mozzarella,http://purl.obolibrary.org/obo/FOODON_03542735,mozzarella (efsa foodex2),A02QJ,True
Mung bean,http://purl.obolibrary.org/obo/FOODON_03541084,mung beans (dry) (efsa foodex2),A013D,True
Mushroom,http://purl.obolibrary.org/obo/FOODON_03540784,common mushrooms (efsa foodex2),A00TQ,True
Mushroom sauce,http://purl.obolibrary.org/obo/FOODON_03544131,mushrooms cooked sauce (efsa foodex2),A044D,True
Mutton,http://purl.obolibrary.org/obo/FOODON_03541929,sheep (adult) fresh meat (efsa foodex2),A01RJ,True
Natural Yogurt,http://purl.obolibrary.org/obo/FOODON_03542701,"yoghurt, goat milk, plain (efsa foodex2)",A02NN,True
Nut,http://purl.obolibrary.org/obo/FOODON_03541118,tree nuts (efsa foodex2),A014C,True
Nutritional yeast,http://purl.obolibrary.org/obo/FOODON_03543823,yeast based formulations (efsa foodex2),A03TB,True
Oat milk,http://purl.obolibrary.org/obo/FOODON_03543834,oats drink (efsa foodex2),A03TL,True
Oil,http://purl.obolibrary.org/obo/FOODON_03543092,animal and vegetable fats/oils (efsa foodex2),A0F3D,True
Olive oil,http://purl.obolibrary.org/obo/FOODON_03543094,olive oils (efsa foodex2),A036P,True
Onion,http://purl.obolibrary.org/obo/FOODON_03540579,onions (efsa foodex2),A00HC,True
Oxtail,http://purl.obolibrary.org/obo/FOODON_03542079,bovine tail (efsa foodex2),A020Y,True
Oyster sauce,http://purl.obolibrary.org/obo/FOODON_03544112,oyster sauce (efsa foodex2),A044S,True
Pak choi,http://purl.obolibrary.org/obo/FOODON_03540487,pak-choi (efsa foodex2),A00GJ,True
Pancetta,http://purl.obolibrary.org/obo/FOODON_03542113,pancetta (efsa foodex2),A022Y,True
Paneer,http://purl.obolibrary.org/obo/FOODON_03542737,cheese curd (efsa foodex2),A0CRN,True
Parmesan,http://purl.obolibrary.org/obo/FOODON_03542892,"extra hard cheese (parmesan, grana type) (efsa foodex2)",A02ZH,True
Parsnip,http://purl.obolibrary.org/obo/FOODON_03540724,parsnips and similar- (efsa foodex2),A0DNS,True
Pasta,http://purl.obolibrary.org/obo/FOODON_03540175,pasta and similar products (efsa foodex2),A007D,True
Pastrami,http://purl.obolibrary.org/obo/FOODON_03542121,cooked cured (or seasoned) meat (efsa foodex2),A023G,True
Pea,http://purl.obolibrary.org/obo/FOODON_03541093,peas (dry) and similar- (efsa foodex2),A0DCD,True
Peanut,http://purl.obolibrary.org/obo/FOODON_03541181,peanuts (efsa foodex2),A015H,True
Pearl barley,http://purl.obolibrary.org/obo/FOODON_03540007,"barley grain, pearled (efsa foodex2)",A002K,True
Pepper,http://purl.obolibrary.org/obo/FOODON_03540649,peppers and similar- (efsa foodex2),A00HZ,True
Pesto,http://purl.obolibrary.org/obo/FOODON_03544123,pesto (efsa foodex2),A044V,True
Pigeon pea,http://purl.obolibrary.org/obo/FOODON_03541102,pigeon peas (dry) (efsa foodex2),A013P,True
Pine nut,http://purl.obolibrary.org/obo/FOODON_03541153,pine nut kernels (efsa foodex2),A01BV,True
Pinto bean,http://purl.obolibrary.org/obo/FOODON_03541027,borlotti or other common beans (without pods) (efsa foodex2),A012B,True
